1 2 3 4 5
6.848597e-01 7.951599e-01 7.951599e-01 9.199981e-01 6.053304e-01
6.053304e-01 1.117366e-01 2.601845e-01 9.199981e-01 3.109103e-01
6.053304e-01 1.024759e-01 3.109103e-01 6.053304e-01 2.601845e-01
3.109103e-01 6.053304e-01 7.951599e-01 1.717196e-01 1.024759e-01
6.053304e-01 6.053304e-01 7.951599e-01 3.671887e-10 2.601845e-01
9.349896e-01 9.199981e-01 5.631894e-01 3.003308e-01 5.631894e-01
5.631894e-01 5.631894e-01 3.109103e-01 2.601845e-01 1.717196e-01
2.601845e-01 3.109103e-01 1.024759e-01 6.053304e-01 2.601845e-01
1.377681e-02 6.053304e-01 7.951599e-01 6.053304e-01 9.199981e-01
9.199981e-01 6.053304e-01 6.053304e-01 1.024759e-01 1.717196e-01
2.601845e-01 1.717196e-01 5.631894e-01 1.377681e-02 3.109103e-01
6.053304e-01 7.951599e-01 1.024759e-01 3.109103e-01 7.951599e-01
7.951599e-01 9.294192e-01 9.199981e-01 1.024759e-01 1.377681e-02
6.053304e-01 7.951599e-01 9.199981e-01 9.199981e-01 1.024759e-01
9.199981e-01 1.717196e-01 2.725582e-03 2.057589e-01 5.631894e-01
6.053304e-01 3.109103e-01 7.188492e-02 9.199981e-01 9.199981e-01
9.199981e-01 2.601845e-01 2.601845e-01 1.117366e-01 3.872153e-01
6.053304e-01 1.377681e-02 5.631894e-01 1.377681e-02 6.053304e-01
9.199981e-01 1.024759e-01 6.053304e-01 6.773654e-02 1.024759e-01
3.109103e-01 5.631894e-01 1.024759e-01 1.024759e-01 2.601845e-01
8.163779e-01 3.109103e-01 7.951599e-01 1.377681e-02 3.872153e-01
6.053304e-01 7.951599e-01 1.024759e-01 2.601845e-01 3.109103e-01
1.024759e-01 1.117366e-01 7.951599e-01 9.199981e-01 7.951599e-01
6.053304e-01 3.109103e-01 1.117366e-01 6.053304e-01 7.951599e-01
3.109103e-01 2.899119e-02 7.951599e-01 9.199981e-01 3.109103e-01
1.824390e-01 7.951599e-01 7.951599e-01 6.053304e-01 3.109103e-01
1.024759e-01 3.109103e-01 3.109103e-01 3.109103e-01 6.053304e-01
1.024759e-01 1.377681e-02 2.263477e-01 9.199981e-01 6.053304e-01
6.053304e-01 6.053304e-01 6.010314e-01 2.601845e-01 3.872153e-01
6.053304e-01 6.053304e-01 3.109103e-01 1.377681e-02 9.199981e-01
7.951599e-01 9.199981e-01 9.199981e-01 1.024759e-01 3.109103e-01
9.349896e-01 3.348961e-01 3.872153e-01 3.872153e-01 3.872153e-01
7.951599e-01 1.024759e-01 9.199981e-01 7.951599e-01 1.717196e-01
3.671887e-10 9.199981e-01 6.053304e-01 9.199981e-01 6.053304e-01
9.199981e-01 1.377681e-02 1.717196e-01 3.872153e-01 3.109103e-01
6.848597e-01 6.053304e-01 3.109103e-01 3.109103e-01 5.631894e-01
8.163779e-01 9.349896e-01 3.671887e-10 6.053304e-01 3.872153e-01
3.109103e-01 3.872153e-01 3.109103e-01 7.951599e-01 5.631894e-01
1.117366e-01 9.416637e-01 7.951599e-01 1.024759e-01 6.053304e-01
9.199981e-01 9.199981e-01 1.024759e-01 3.109103e-01 3.109103e-01
6.053304e-01 3.109103e-01 9.349896e-01 5.631894e-01 5.631894e-01
1.961554e-04 5.631894e-01 6.053304e-01 1.961554e-04 7.951599e-01
2.601845e-01 1.024759e-01 9.199981e-01 6.053304e-01 7.951599e-01
1.504351e-01 3.872153e-01 1.824390e-01 9.199981e-01 9.199981e-01
9.294192e-01 9.199981e-01 2.601845e-01 1.717196e-01 9.199981e-01
9.199981e-01 7.951599e-01 9.199981e-01 6.053304e-01 5.631894e-01
7.951599e-01 3.872153e-01 2.601845e-01 6.053304e-01 3.109103e-01
7.951599e-01 1.117366e-01 7.951599e-01 5.631894e-01 5.631894e-01
9.199981e-01 7.951599e-01 8.163779e-01 9.199981e-01 1.377681e-02
2.601845e-01 9.199981e-01 1.140198e-02 6.053304e-01 9.199981e-01
9.199981e-01 9.199981e-01 9.199981e-01 1.024759e-01 9.199981e-01
5.631894e-01 7.951599e-01 7.951599e-01 9.199981e-01 3.109103e-01
9.199981e-01 5.631894e-01 1.961554e-04 1.717196e-01 1.961554e-04
7.951599e-01 2.601845e-01 3.109103e-01 3.872153e-01 3.109103e-01
1.377681e-02 6.053304e-01 3.109103e-01 9.199981e-01 1.377681e-02
